|||"Talf"|"17560269"|"5661221"
|||"Talf"|"17560268"|"5661220"
|||"Talf"|"17560279"|"5661231"
|||"Talf"|"17560278"|"5661230"
|||"Talf"|"17560277"|"5661229"
|||"Talf"|"17560263"|"5661215"
|||"Talf"|"17560256"|"5661208"
|||"Talf"|"17560267"|"5661219"
|||"Talf"|"17560266"|"5661218"
|||"Talf"|"17560265"|"5661217"
|||"Talf"|"17560264"|"5661216"
|||"Talf"|"17560251"|"5661203"
|||"Talf"|"17560229"|"5661181"
|||"Talf"|"17560228"|"5661180"
|||"Talf"|"17560227"|"5661179"
|||"Talf"|"17560226"|"5661178"
|||"Talf"|"17560221"|"5661173"
