4|"April"|"Occasional"|"Very brief (4 to 48 hours)"|"None"|||||||||||"12126327"|"126898247"
8|"August"|"None"||"None"|||||||||||"12126327"|"126898248"
12|"December"|"None"||"None"|||||||||||"12126327"|"126898249"
2|"February"|"None"||"None"|||||||||||"12126327"|"126898250"
1|"January"|"None"||"None"|||||||||||"12126327"|"126898251"
7|"July"|"None"||"None"|||||||||||"12126327"|"126898252"
6|"June"|"Occasional"|"Very brief (4 to 48 hours)"|"None"|||||||||||"12126327"|"126898253"
3|"March"|"None"||"None"|||||||||||"12126327"|"126898254"
5|"May"|"Occasional"|"Very brief (4 to 48 hours)"|"None"|||||||||||"12126327"|"126898255"
11|"November"|"None"||"None"|||||||||||"12126327"|"126898256"
10|"October"|"None"||"None"|||||||||||"12126327"|"126898257"
9|"September"|"None"||"None"|||||||||||"12126327"|"126898258"
4|"April"||||||||||||||"12126328"|"126898259"
8|"August"||||||||||||||"12126328"|"126898260"
12|"December"||||||||||||||"12126328"|"126898261"
2|"February"||||||||||||||"12126328"|"126898262"
1|"January"||||||||||||||"12126328"|"126898263"
7|"July"||||||||||||||"12126328"|"126898264"
6|"June"||||||||||||||"12126328"|"126898265"
3|"March"||||||||||||||"12126328"|"126898266"
5|"May"||||||||||||||"12126328"|"126898267"
11|"November"||||||||||||||"12126328"|"126898268"
10|"October"||||||||||||||"12126328"|"126898269"
9|"September"||||||||||||||"12126328"|"126898270"
4|"April"||||||||||||||"12126329"|"126898271"
8|"August"||||||||||||||"12126329"|"126898272"
12|"December"||||||||||||||"12126329"|"126898273"
2|"February"||||||||||||||"12126329"|"126898274"
1|"January"||||||||||||||"12126329"|"126898275"
7|"July"||||||||||||||"12126329"|"126898276"
6|"June"||||||||||||||"12126329"|"126898277"
3|"March"||||||||||||||"12126329"|"126898278"
5|"May"||||||||||||||"12126329"|"126898279"
11|"November"||||||||||||||"12126329"|"126898280"
10|"October"||||||||||||||"12126329"|"126898281"
9|"September"||||||||||||||"12126329"|"126898282"
12|"December"|"None"||"None"|||||||||||"12126445"|"126899651"
1|"January"|"None"||"None"|||||||||||"12126445"|"126899652"
7|"July"|"None"||"None"|||||||||||"12126445"|"126899653"
6|"June"|"None"||"None"|||||||||||"12126445"|"126899654"
4|"April"|"None"||"None"|||||||||||"12126445"|"126899655"
3|"March"|"None"||"None"|||||||||||"12126445"|"126899656"
11|"November"|"None"||"None"|||||||||||"12126445"|"126899657"
9|"September"|"None"||"None"|||||||||||"12126445"|"126899658"
2|"February"|"None"||"None"|||||||||||"12126445"|"126899659"
10|"October"|"None"||"None"|||||||||||"12126445"|"126899660"
5|"May"|"None"||"None"|||||||||||"12126445"|"126899661"
8|"August"|"None"||"None"|||||||||||"12126445"|"126899662"
6|"June"|"None"||"None"|||||||||||"12126446"|"126899663"
7|"July"|"None"||"None"|||||||||||"12126446"|"126899664"
12|"December"|"None"||"None"|||||||||||"12126446"|"126899665"
9|"September"|"None"||"None"|||||||||||"12126446"|"126899666"
8|"August"|"None"||"None"|||||||||||"12126446"|"126899667"
11|"November"|"None"||"None"|||||||||||"12126446"|"126899668"
10|"October"|"None"||"None"|||||||||||"12126446"|"126899669"
3|"March"|"None"||"None"|||||||||||"12126446"|"126899670"
1|"January"|"None"||"None"|||||||||||"12126446"|"126899671"
2|"February"|"None"||"None"|||||||||||"12126446"|"126899672"
4|"April"|"None"||"None"|||||||||||"12126446"|"126899673"
5|"May"|"None"||"None"|||||||||||"12126446"|"126899674"
6|"June"|"None"||"None"|||||||||||"12126447"|"126899675"
2|"February"|"None"||"None"|||||||||||"12126447"|"126899676"
11|"November"|"None"||"None"|||||||||||"12126447"|"126899677"
1|"January"|"None"||"None"|||||||||||"12126447"|"126899678"
10|"October"|"None"||"None"|||||||||||"12126447"|"126899679"
8|"August"|"None"||"None"|||||||||||"12126447"|"126899680"
3|"March"|"None"||"None"|||||||||||"12126447"|"126899681"
12|"December"|"None"||"None"|||||||||||"12126447"|"126899682"
7|"July"|"None"||"None"|||||||||||"12126447"|"126899683"
4|"April"|"None"||"None"|||||||||||"12126447"|"126899684"
5|"May"|"None"||"None"|||||||||||"12126447"|"126899685"
9|"September"|"None"||"None"|||||||||||"12126447"|"126899686"
4|"April"|"None"||"None"|||||||||||"12126378"|"126898859"
8|"August"|"None"||"None"|||||||||||"12126378"|"126898860"
12|"December"|"None"||"None"|||||||||||"12126378"|"126898861"
2|"February"|"None"||"None"|||||||||||"12126378"|"126898862"
1|"January"|"None"||"None"|||||||||||"12126378"|"126898863"
7|"July"|"None"||"None"|||||||||||"12126378"|"126898864"
6|"June"|"None"||"None"|||||||||||"12126378"|"126898865"
3|"March"|"None"||"None"|||||||||||"12126378"|"126898866"
5|"May"|"None"||"None"|||||||||||"12126378"|"126898867"
11|"November"|"None"||"None"|||||||||||"12126378"|"126898868"
10|"October"|"None"||"None"|||||||||||"12126378"|"126898869"
9|"September"|"None"||"None"|||||||||||"12126378"|"126898870"
4|"April"||||||||||||||"12126379"|"126898871"
8|"August"||||||||||||||"12126379"|"126898872"
12|"December"||||||||||||||"12126379"|"126898873"
2|"February"||||||||||||||"12126379"|"126898874"
1|"January"||||||||||||||"12126379"|"126898875"
7|"July"||||||||||||||"12126379"|"126898876"
6|"June"||||||||||||||"12126379"|"126898877"
3|"March"||||||||||||||"12126379"|"126898878"
5|"May"||||||||||||||"12126379"|"126898879"
11|"November"||||||||||||||"12126379"|"126898880"
10|"October"||||||||||||||"12126379"|"126898881"
9|"September"||||||||||||||"12126379"|"126898882"
4|"April"||||||||||||||"12126380"|"126898883"
8|"August"||||||||||||||"12126380"|"126898884"
12|"December"||||||||||||||"12126380"|"126898885"
2|"February"||||||||||||||"12126380"|"126898886"
1|"January"||||||||||||||"12126380"|"126898887"
7|"July"||||||||||||||"12126380"|"126898888"
6|"June"||||||||||||||"12126380"|"126898889"
3|"March"||||||||||||||"12126380"|"126898890"
5|"May"||||||||||||||"12126380"|"126898891"
11|"November"||||||||||||||"12126380"|"126898892"
10|"October"||||||||||||||"12126380"|"126898893"
9|"September"||||||||||||||"12126380"|"126898894"
4|"April"|"None"||"None"|||||||||||"12126385"|"126898943"
8|"August"|"None"||"None"|||||||||||"12126385"|"126898944"
12|"December"|"None"||"None"|||||||||||"12126385"|"126898945"
2|"February"|"None"||"None"|||||||||||"12126385"|"126898946"
1|"January"|"None"||"None"|||||||||||"12126385"|"126898947"
7|"July"|"None"||"None"|||||||||||"12126385"|"126898948"
6|"June"|"None"||"None"|||||||||||"12126385"|"126898949"
3|"March"|"None"||"None"|||||||||||"12126385"|"126898950"
5|"May"|"None"||"None"|||||||||||"12126385"|"126898951"
11|"November"|"None"||"None"|||||||||||"12126385"|"126898952"
10|"October"|"None"||"None"|||||||||||"12126385"|"126898953"
9|"September"|"None"||"None"|||||||||||"12126385"|"126898954"
4|"April"|"None"||"None"|||||||||||"12126386"|"126898955"
8|"August"|"None"||"None"|||||||||||"12126386"|"126898956"
12|"December"|"None"||"None"|||||||||||"12126386"|"126898957"
2|"February"|"None"||"None"|||||||||||"12126386"|"126898958"
1|"January"|"None"||"None"|||||||||||"12126386"|"126898959"
7|"July"|"None"||"None"|||||||||||"12126386"|"126898960"
6|"June"|"None"||"None"|||||||||||"12126386"|"126898961"
3|"March"|"None"||"None"|||||||||||"12126386"|"126898962"
5|"May"|"None"||"None"|||||||||||"12126386"|"126898963"
11|"November"|"None"||"None"|||||||||||"12126386"|"126898964"
10|"October"|"None"||"None"|||||||||||"12126386"|"126898965"
9|"September"|"None"||"None"|||||||||||"12126386"|"126898966"
4|"April"||||||||||||||"12126387"|"126898967"
8|"August"||||||||||||||"12126387"|"126898968"
12|"December"||||||||||||||"12126387"|"126898969"
2|"February"||||||||||||||"12126387"|"126898970"
1|"January"||||||||||||||"12126387"|"126898971"
7|"July"||||||||||||||"12126387"|"126898972"
6|"June"||||||||||||||"12126387"|"126898973"
3|"March"||||||||||||||"12126387"|"126898974"
5|"May"||||||||||||||"12126387"|"126898975"
11|"November"||||||||||||||"12126387"|"126898976"
10|"October"||||||||||||||"12126387"|"126898977"
9|"September"||||||||||||||"12126387"|"126898978"
4|"April"||||||||||||||"12126388"|"126898979"
8|"August"||||||||||||||"12126388"|"126898980"
12|"December"||||||||||||||"12126388"|"126898981"
2|"February"||||||||||||||"12126388"|"126898982"
1|"January"||||||||||||||"12126388"|"126898983"
7|"July"||||||||||||||"12126388"|"126898984"
6|"June"||||||||||||||"12126388"|"126898985"
3|"March"||||||||||||||"12126388"|"126898986"
5|"May"||||||||||||||"12126388"|"126898987"
11|"November"||||||||||||||"12126388"|"126898988"
10|"October"||||||||||||||"12126388"|"126898989"
9|"September"||||||||||||||"12126388"|"126898990"
4|"April"||||||||||||||"12126389"|"126898991"
8|"August"||||||||||||||"12126389"|"126898992"
12|"December"||||||||||||||"12126389"|"126898993"
2|"February"||||||||||||||"12126389"|"126898994"
1|"January"||||||||||||||"12126389"|"126898995"
7|"July"||||||||||||||"12126389"|"126898996"
6|"June"||||||||||||||"12126389"|"126898997"
3|"March"||||||||||||||"12126389"|"126898998"
5|"May"||||||||||||||"12126389"|"126898999"
11|"November"||||||||||||||"12126389"|"126899000"
10|"October"||||||||||||||"12126389"|"126899001"
9|"September"||||||||||||||"12126389"|"126899002"
4|"April"|"None"||"None"|||||||||||"12126401"|"126899135"
8|"August"|"None"||"None"|||||||||||"12126401"|"126899136"
12|"December"|"None"||"None"|||||||||||"12126401"|"126899137"
2|"February"|"None"||"None"|||||||||||"12126401"|"126899138"
1|"January"|"None"||"None"|||||||||||"12126401"|"126899139"
7|"July"|"None"||"None"|||||||||||"12126401"|"126899140"
6|"June"|"None"||"None"|||||||||||"12126401"|"126899141"
3|"March"|"None"||"None"|||||||||||"12126401"|"126899142"
5|"May"|"None"||"None"|||||||||||"12126401"|"126899143"
11|"November"|"None"||"None"|||||||||||"12126401"|"126899144"
10|"October"|"None"||"None"|||||||||||"12126401"|"126899145"
9|"September"|"None"||"None"|||||||||||"12126401"|"126899146"
4|"April"||||||||||||||"12126402"|"126899147"
8|"August"||||||||||||||"12126402"|"126899148"
12|"December"||||||||||||||"12126402"|"126899149"
2|"February"||||||||||||||"12126402"|"126899150"
1|"January"||||||||||||||"12126402"|"126899151"
7|"July"||||||||||||||"12126402"|"126899152"
6|"June"||||||||||||||"12126402"|"126899153"
3|"March"||||||||||||||"12126402"|"126899154"
5|"May"||||||||||||||"12126402"|"126899155"
11|"November"||||||||||||||"12126402"|"126899156"
10|"October"||||||||||||||"12126402"|"126899157"
9|"September"||||||||||||||"12126402"|"126899158"
4|"April"|"None"||"None"|||||||||||"12126467"|"126899915"
8|"August"|"None"||"None"|||||||||||"12126467"|"126899916"
12|"December"|"None"||"None"|||||||||||"12126467"|"126899917"
2|"February"|"None"||"None"|||||||||||"12126467"|"126899918"
1|"January"|"None"||"None"|||||||||||"12126467"|"126899919"
7|"July"|"None"||"None"|||||||||||"12126467"|"126899920"
6|"June"|"None"||"None"|||||||||||"12126467"|"126899921"
3|"March"|"None"||"None"|||||||||||"12126467"|"126899922"
